role_id,permission_id
e2fcea0b-49cc-4aa0-982d-fcc7aa99bae6,dd454a98-56b3-4c28-b3af-4f4d3b178599
ef4ee941-4d7a-4b9a-b358-372ee697adaf,5a7e9800-510d-4b24-a3d5-ee252ad0c9d2
ef4ee941-4d7a-4b9a-b358-372ee697adaf,a5d289f3-827d-491b-9eec-6a45c06ed53d
ef4ee941-4d7a-4b9a-b358-372ee697adaf,a3a6c736-c4e7-447a-84b8-b62cb8d85f76
ef4ee941-4d7a-4b9a-b358-372ee697adaf,2e1ba05a-fe94-4f44-b89f-214940b60af5
ef4ee941-4d7a-4b9a-b358-372ee697adaf,d8490452-3213-40a9-8dc1-4937c26858ea
ef4ee941-4d7a-4b9a-b358-372ee697adaf,80b0bbc5-d8f8-41a6-b6eb-273c5e174f3f
ef4ee941-4d7a-4b9a-b358-372ee697adaf,0e9d876e-733b-4e15-b63d-5c357a817dcb
ef4ee941-4d7a-4b9a-b358-372ee697adaf,bcdef5b8-3f20-4416-b042-d553aab9c0c6
ef4ee941-4d7a-4b9a-b358-372ee697adaf,8aa6f9e4-f6b1-43a8-9b5d-6c5feb008ea4
ef4ee941-4d7a-4b9a-b358-372ee697adaf,9619354c-532f-4f9f-aac3-e040b4bb6a35
ef4ee941-4d7a-4b9a-b358-372ee697adaf,b50657fa-e27f-4789-aee0-4b2e2d843c2f
ef4ee941-4d7a-4b9a-b358-372ee697adaf,a652846b-7b32-401e-a803-d8a43f29126c
ef4ee941-4d7a-4b9a-b358-372ee697adaf,84c1a28b-d146-44d5-abf3-a07b0183fc74
ef4ee941-4d7a-4b9a-b358-372ee697adaf,038d59bd-7ad7-4f55-b890-2f8193b47321
ef4ee941-4d7a-4b9a-b358-372ee697adaf,9dc4a30e-8312-4e41-82e7-7d7c1263b2da
a83fead0-78c6-4dc1-ae78-db0a5d67f004,f6027919-673f-412b-a6d8-dbfc6b4cf597
a83fead0-78c6-4dc1-ae78-db0a5d67f004,b5c7f14d-2e2a-46c6-aa7c-3e7600f0a21e
fdf936a1-8eb7-4531-ba7c-ec600a5ec056,08a5ea04-1aa7-430b-8488-edafd448510d
